ID,Category,Subcategory,Asset Name,Description,States/Variants,Priority,Status,Dependencies,Notes
,,,,,,,,
,WITCH'S STUDY,,,,,,,
WS-001,Witch's Study,Character,Witch Portrait - Idle,Default state sitting at desk with book closed,1,1,Not Started,,Soft lighting. Cozy melancholy. This is Brianna at rest.
WS-002,Witch's Study,Character,Witch Portrait - Writing,Engaged with open book - pen moving,1,1,Not Started,WS-001,Slight lean forward. The author at work.
WS-003,Witch's Study,Character,Witch Portrait - Contemplating,Looking up/away from book - thinking,1,2,Not Started,WS-001,Between actions. Wondering.
WS-004,Witch's Study,Character,Witch Portrait - Reacting (High Favor),Response to good discoveries/world thriving,3 variants (wonder/delight/tender),2,Not Started,WS-001,Warm expressions. Connection.
WS-005,Witch's Study,Character,Witch Portrait - Reacting (Low Favor),Response to forced growth/world struggling,2 variants (concern/distant),2,Not Started,WS-001,Cooler expressions. The cost showing.
WS-006,Witch's Study,Environment,Study Background,The room - desk/shelves/window to her planet,1,1,Not Started,,Frame for everything. Lived-in but lonely.
WS-007,Witch's Study,Environment,Window View - Barren,Her planet before any meta-progress,1,2,Not Started,WS-006,Stark but not ugly. Potential.
WS-008,Witch's Study,Environment,Window View - Growing,Planet showing life from meta-progress,4-5 stages,3,Not Started,WS-007,Overlays/additions. Visual proof she's done something.
WS-009,Witch's Study,Object,The Book - Closed,Creation tome on desk,1,1,Not Started,,Ancient and powerful but personal. Well-worn.
WS-010,Witch's Study,Object,The Book - Open Idle,Open but world not active,1,1,Not Started,WS-009,Pages visible. Waiting.
WS-011,Witch's Study,Object,Candles/Light Sources,Ambient magical lighting,2-3 variants,3,Not Started,,Subtle motion if animated.
WS-012,Witch's Study,Object,Bookshelf - Empty,Starting state for closed books,1,2,Not Started,,Where finished worlds live.
WS-013,Witch's Study,Object,Bookshelf - Filling,Progressive states as worlds complete,3-4 stages,3,Not Started,WS-012,Visual meta-progress. Her library grows.
WS-014,Witch's Study,Object,Writing Implements,Pen/quill and ink,1,2,Not Started,,Small but magical.
WS-015,Witch's Study,Object,Essence Vessel,Shows current essence reserves,3 states (full/partial/low),1,Not Started,,The resource that lets her create.
WS-016,Witch's Study,Object,Journal,Her personal observations - Favor reflection,1,2,Not Started,,Where her inner state lives. Could show wear based on Favor history.
,,,,,,,,
,TRANSITIONS,,,,,,,
TR-001,Transitions,Animation,Book Opening Sequence,Study to world view transition,4-6 frames,1,Not Started,WS-009 WS-010,Pages turn. Light emerges. Key moment.
TR-002,Transitions,Animation,Book Closing Sequence,World view back to study,4-6 frames,2,Not Started,TR-001,World settles into pages.
TR-003,Transitions,Animation,Discovery Moment,New emergence revealed,3-4 frames,1,Not Started,,Sparkle/glow. Text appearing. Satisfying.
TR-004,Transitions,Animation,Page Turn,Between discovery pages,2-3 frames,2,Not Started,,Simple. Satisfying.
TR-005,Transitions,Animation,Observation Stage Shift,Thing moves from Notice to Observe to Study to Know,2-3 frames,2,Not Started,,Visual feedback for attention investment.
,,,,,,,,
,THE WEB - TIER 1 CONDITIONS,,,,,,,
W1-001,The Web,Condition Icon,Let There Be Flow,Cycles/currents/exchange,1,1,Not Started,,Abstract. Maybe water motif. First choice category.
W1-002,The Web,Condition Icon,Let There Be Holding,Containment/accumulation/memory,1,1,Not Started,,Abstract. Maybe vessel/pool motif.
W1-003,The Web,Condition Icon,Let There Be Falling,Gravity/gradients/tendency toward,1,1,Not Started,,Abstract. Maybe descent/slope motif.
W1-004,The Web,Condition Icon,Let There Be Reaching,Growth/extension/hunger,1,1,Not Started,,Abstract. Maybe upward/outward motif.
W1-005,The Web,Condition Icon,Let There Be Returning,Cycles/decay/nutrients back,1,1,Not Started,,Abstract. Maybe spiral/loop motif.
W1-006,The Web,Condition Icon,Let There Be Boundary,Self/other/membranes,1,2,Not Started,,Abstract. Maybe edge/surface motif.
W1-007,The Web,Condition Icon,Let There Be Change When Touched,Reactivity/sensitivity/response,1,2,Not Started,,Abstract. Maybe ripple/impact motif.
W1-008,The Web,Condition Icon,Let There Be Repeating,Patterns/reproduction/rhythm,1,2,Not Started,,Abstract. Maybe echo/iteration motif.
W1-009,The Web,Condition Icon,Locked Condition,Unavailable/undiscovered node,1,1,Not Started,,Greyed or obscured. Mystery.
W1-010,The Web,Condition Icon,Condition - Active/Selected,Currently being written,1,1,Not Started,,Glowing or highlighted state.
,,,,,,,,
,THE WEB - TIER 2 EMERGENCES,,,,,,,
W2-001,The Web,Emergence Icon,Metabolism,Flow + Holding,1,2,Not Started,W1-001 W1-002,Something that maintains itself through change.
W2-002,The Web,Emergence Icon,Structure,Falling + Reaching,1,2,Not Started,W1-003 W1-004,Something that resists tendency.
W2-003,The Web,Emergence Icon,Growth,Holding + Reaching,1,2,Not Started,W1-002 W1-004,Something that accumulates toward.
W2-004,The Web,Emergence Icon,Life Cycle,Reaching + Returning,1,2,Not Started,W1-004 W1-005,Birth/death/continuation.
W2-005,The Web,Emergence Icon,Weather,Returning + Flow,1,2,Not Started,W1-005 W1-001,Nutrient cycling. Atmosphere dynamics.
W2-006,The Web,Emergence Icon,Sensation,Boundary + Change When Touched,1,2,Not Started,W1-006 W1-007,Nerves. Reflexes. Awareness begins.
W2-007,The Web,Emergence Icon,Evolution,Repeating + Reaching,1,2,Not Started,W1-008 W1-004,Iteration toward. Improvement over time.
W2-008,The Web,Emergence Icon,Emergence - Locked,Undiscovered combination,1,2,Not Started,,Shows that something exists but requirements unmet.
,,,,,,,,
,THE WEB - UI,,,,,,,
WU-001,The Web,UI,Web Background,The space where nodes float,1,1,Not Started,,Dark but warm? Void but not empty. Constellation feeling.
WU-002,The Web,UI,Web Connection Line,Links between nodes,2 states (active/dormant),1,Not Started,,Could be ink flourishes. Organic not mechanical.
WU-003,The Web,UI,Web Connection - Emergence,Line that shows combination creating something,1,1,Not Started,WU-002,Highlighted/glowing version.
WU-004,The Web,UI,Dimensional Shift Indicator,Shows nodes on different planes,1,3,Not Started,,For later worlds. Depth/parallax hint.
WU-005,The Web,UI,Essence Cost Display,Shows cost of unlocking a condition,1,1,Not Started,,Integrated with node or separate.
,,,,,,,,
,WORLD VIEW - TERRAIN,,,,,,,
WT-001,World View,Terrain,Ocean Tile - Deep,Saline sea base,2 variants,1,Not Started,,Most of map edge.
WT-002,World View,Terrain,Ocean Tile - Shallow,Coastal waters,2 variants,1,Not Started,WT-001,Transition to shore.
WT-003,World View,Terrain,Shore/Beach Tile,Where land meets sea,3 variants,1,Not Started,WT-002,Critical for early life.
WT-004,World View,Terrain,Tidal Pool Tile,Biodiversity hotspot,2 variants,2,Not Started,WT-003,Special shore type.
WT-005,World View,Terrain,Barren Land Tile,Starting continental surface,3 variants,1,Not Started,,Rock/dust. Pre-life. Waiting.
WT-006,World View,Terrain,Fertile Soil Tile,Can support plant life,2 variants,1,Not Started,WT-005,Unlocked through conditions.
WT-007,World View,Terrain,Freshwater Tile,Lakes/rivers,2 variants,2,Not Started,,Different from ocean.
WT-008,World View,Terrain,Rocky/Mountain Tile,Elevation,2 variants,2,Not Started,WT-005,Geographic diversity.
WT-009,World View,Terrain,Spring Tile,Freshwater emergence,1,2,Not Started,WT-007,Special freshwater source.
,,,,,,,,
,WORLD VIEW - ATMOSPHERE,,,,,,,
WA-001,World View,Atmosphere,Sky - Primordial,Before stable atmosphere,1,1,Not Started,,Harsh/hazy. Alien.
